stage,T,W,B,H,D,seed,dtype,max_abs,mse,relative_l2,cos,finite_candidate,finite_reference,pass
V1C_MICRO_CORRECTNESS,128,16,1,4,64,101,torch.float16,0.00048828125,2.6660051943849794e-10,4.1811588883702845e-05,0.9999999403953552,True,True,True
V1C_MICRO_CORRECTNESS,128,16,1,4,64,102,torch.float16,0.0009765625,3.3992922365833067e-10,4.8242013405327185e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,128,16,1,4,64,103,torch.float16,0.00048828125,2.907613316782687e-10,4.413740824612366e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,128,32,1,4,64,101,torch.float16,0.00048828125,3.2796679261259953e-10,5.537432473127433e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,128,32,1,4,64,102,torch.float16,0.00048828125,3.76001452195851e-10,6.03644940602314e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,128,32,1,4,64,103,torch.float16,0.00048828125,4.1806874628846913e-10,6.385985527456459e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,128,64,1,4,64,101,torch.float16,0.00048828125,5.275824221939729e-10,7.85587385550796e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,128,64,1,4,64,102,torch.float16,0.00048828125,4.4934825305098514e-10,7.295573995466698e-05,1.0000001192092896,True,True,True
V1C_MICRO_CORRECTNESS,128,64,1,4,64,103,torch.float16,0.00048828125,4.54927595594512e-10,7.462769042162723e-05,0.9999999403953552,True,True,True
V1C_MICRO_CORRECTNESS,256,16,1,4,64,101,torch.float16,0.0009765625,4.0394035338842116e-10,5.403136779392161e-05,1.0000001192092896,True,True,True
V1C_MICRO_CORRECTNESS,256,16,1,4,64,102,torch.float16,0.0009765625,5.457327922897548e-10,6.256484449415968e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,256,16,1,4,64,103,torch.float16,0.0009765625,4.674493570000493e-10,5.8327429555064376e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,256,32,1,4,64,101,torch.float16,0.00048828125,5.62462187936319e-10,8.033849135356472e-05,1.0000001192092896,True,True,True
V1C_MICRO_CORRECTNESS,256,32,1,4,64,102,torch.float16,0.00048828125,6.358721327259786e-10,8.375225404975028e-05,1.0000001192092896,True,True,True
V1C_MICRO_CORRECTNESS,256,32,1,4,64,103,torch.float16,0.00048828125,5.095939226151813e-10,7.666549397066439e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,256,64,1,4,64,101,torch.float16,0.00048828125,7.163861726056098e-10,0.00010969002838923164,1.0,True,True,True
V1C_MICRO_CORRECTNESS,256,64,1,4,64,102,torch.float16,0.00048828125,7.051108585898191e-10,0.00010494234202260506,1.0000001192092896,True,True,True
V1C_MICRO_CORRECTNESS,256,64,1,4,64,103,torch.float16,0.00048828125,7.264731038958416e-10,0.00010999756777947659,1.0,True,True,True
V1C_MICRO_CORRECTNESS,256,128,1,4,64,101,torch.float16,0.00048828125,6.218307535554857e-10,0.00011410884109420607,1.0,True,True,True
V1C_MICRO_CORRECTNESS,256,128,1,4,64,102,torch.float16,0.00048828125,6.272217190073093e-10,0.00011003118461132513,1.0,True,True,True
V1C_MICRO_CORRECTNESS,256,128,1,4,64,103,torch.float16,0.00048828125,6.767078564173801e-10,0.00011881173106699687,1.0,True,True,True
V1C_MICRO_CORRECTNESS,512,16,1,4,64,101,torch.float16,0.0009765625,5.417141180075191e-10,6.382961036909541e-05,0.9999999403953552,True,True,True
V1C_MICRO_CORRECTNESS,512,16,1,4,64,102,torch.float16,0.0009765625,5.508695721800905e-10,6.515796915910013e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,512,16,1,4,64,103,torch.float16,0.0009765625,5.823074245014936e-10,6.700405174559592e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,512,32,1,4,64,101,torch.float16,0.00048828125,6.922119544228167e-10,9.310806306914943e-05,1.0,True,True,True
V1C_MICRO_CORRECTNESS,512,32,1,4,64,102,torch.float16,0.00048828125,7.065178442289266e-10,9.451243555884155e-05,0.9999998807907104,True,True,True
V1C_MICRO_CORRECTNESS,512,32,1,4,64,103,torch.float16,0.0009765625,6.480521674845363e-10,9.139353917956436e-05,0.9999999403953552,True,True,True
V1C_MICRO_CORRECTNESS,512,64,1,4,64,101,torch.float16,0.00048828125,8.420227848304762e-10,0.00013032429294998092,1.0,True,True,True
V1C_MICRO_CORRECTNESS,512,64,1,4,64,102,torch.float16,0.00048828125,8.343928881160423e-10,0.00012941560060385983,1.0000001192092896,True,True,True
V1C_MICRO_CORRECTNESS,512,64,1,4,64,103,torch.float16,0.00048828125,7.994704898095506e-10,0.00012832218377676697,1.0,True,True,True
V1C_MICRO_CORRECTNESS,512,128,1,4,64,101,torch.float16,0.00048828125,7.18340387173555e-10,0.00014424863813345963,0.9999998807907104,True,True,True
V1C_MICRO_CORRECTNESS,512,128,1,4,64,102,torch.float16,0.00048828125,7.173724947406868e-10,0.00014409876044441696,1.0,True,True,True
V1C_MICRO_CORRECTNESS,512,128,1,4,64,103,torch.float16,0.00048828125,7.309530758448091e-10,0.000148372362734714,1.0,True,True,True
